week_num,rank_q,c_name_eng,online_quantity,online_ratio,single,dual,cylinder,drum,energy_grade_1,energy_grade_2,energy_grade_3,energy_grade_4,energy_grade_5,energy_grade_x,vol_under_4.4,vol_under_4.9,vol_under_5.4,vol_under_5.9,vol_under_6.4,vol_under_6.9,vol_under_7.4,vol_under_7.9,vol_over_8.0,price_under_200,price_under_400,price_under_600,price_under_800,price_under_1000,price_under_1200,price_under_1400,price_under_1900,price_under_2400,price_under_2900,price_under_3400,price_under_4400,price_over_4401,offline_quantity,offline_ratio,online_amount,online_amount_ratio,offline_amount,offline_amount_ratio,date
38,5,galanz,10266,0.066,NA,NA,0.008,0.059,0.004,0.055,0.008,NA,NA,NA,NA,NA,NA,NA,0.055,0.001,0.01,NA,NA,NA,NA,NA,0.006,0.029,0.016,0.003,0.012,0,NA,NA,NA,NA,913,0.003,11195,0.063,981,0.001,2015-09-14
38,7,sanyo,6089,0.039,NA,NA,0.024,0.015,0.004,0.009,0.025,0,NA,0,0,NA,0.001,0.007,0.004,0.003,0.018,0.002,0.003,NA,NA,NA,0.007,0.012,0.002,0.002,0.008,0.005,0.001,0.002,0.001,0,25242,0.074,8720,0.049,56547,0.064,2015-09-14
38,8,siemens,5941,0.038,NA,NA,NA,0.038,0.027,0.011,NA,NA,NA,0,NA,NA,0,NA,0.014,0,0.014,0.002,0.008,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.003,0.007,0.012,0.006,35352,0.103,20162,0.113,146670,0.165,2015-09-14
38,13,lg,2904,0.019,NA,NA,0.002,0.017,0.013,0.006,0,NA,NA,0,0,NA,NA,NA,0.004,0,0.001,0,0.013,NA,NA,NA,NA,NA,NA,0,0,0.005,0.008,0.003,0.002,0,11505,0.034,8011,0.045,43575,0.049,2015-09-14
38,21,hisense,1029,0.007,NA,NA,0.006,0,0,0,0.006,NA,NA,NA,NA,NA,0.002,0,0.002,NA,0.002,NA,0,NA,NA,NA,0.003,0.003,0,0,0,0,0,NA,NA,NA,6518,0.019,931,0.005,11396,0.013,2015-09-14
39,2,haier,45096,0.218,0.003,0.009,0.171,0.035,0.038,0.004,0.075,0,0,0.1,0.007,0,0.002,0.012,0.028,0.004,0.138,0.012,0.015,0,0.003,0.006,0.003,0.041,0.11,0.008,0.011,0.019,0.008,0.003,0.004,0.001,41268,0.259,59295,0.215,104695,0.266,2015-09-21
39,4,sanyo,12420,0.06,NA,NA,0.04,0.02,0.003,0.008,0.048,0,NA,0,0,NA,0.009,0.003,0.009,0.002,0.026,0.003,0.008,NA,NA,NA,0.016,0.019,0.003,0.002,0.014,0.003,0.001,0.001,0,0,10696,0.067,15340,0.056,23186,0.059,2015-09-21
39,6,galanz,9713,0.047,NA,NA,0.006,0.041,0.003,0.038,0.006,NA,NA,0,NA,NA,NA,NA,0.041,0.001,0.005,NA,NA,NA,NA,NA,0.004,0.02,0.014,0.004,0.005,0,NA,NA,NA,NA,525,0.003,10392,0.038,561,0.001,2015-09-21
39,7,siemens,8776,0.042,NA,NA,NA,0.042,0.033,0.01,NA,NA,NA,0,NA,NA,0,0,0.016,0,0.011,0.002,0.013,NA,NA,NA,NA,NA,NA,0,0,0.009,0.003,0.007,0.018,0.006,12040,0.075,30481,0.11,51725,0.131,2015-09-21
39,8,lg,6907,0.033,NA,NA,0.001,0.032,0.018,0.015,0,NA,NA,0,0,NA,NA,NA,0.014,0,0.003,0,0.016,NA,NA,NA,NA,NA,0,0,0,0.015,0.012,0.002,0.004,0.001,5116,0.032,17983,0.065,19334,0.049,2015-09-21
