weeknum,company,product,media_num,media_name,neg_pos,count
2015/35,siemens,drum,9,weibo,neg,0
2015/35,siemens,drum,9,weibo,pos,0
2015/35,siemens,drum,z,others,neg,0
2015/35,siemens,drum,z,others,pos,0
2015/36,galanz,bolun,0,wiki,neg,0
2015/36,galanz,bolun,0,wiki,pos,0
2015/36,galanz,bolun,1,news,neg,0
2015/36,galanz,bolun,1,news,pos,3
2015/36,galanz,bolun,2,blog,neg,0
2015/36,galanz,bolun,2,blog,pos,0
2015/36,galanz,bolun,5,community,neg,0
2015/36,galanz,bolun,5,community,pos,0
2015/36,galanz,bolun,7,bbs,neg,0
2015/36,galanz,bolun,7,bbs,pos,0
2015/36,galanz,bolun,9,weibo,neg,0
2015/36,galanz,bolun,9,weibo,pos,0
2015/36,galanz,bolun,z,others,neg,0
2015/36,galanz,bolun,z,others,pos,0
2015/36,galanz,drum,0,wiki,neg,0
2015/36,galanz,drum,0,wiki,pos,0
2015/36,galanz,drum,1,news,neg,0
2015/36,galanz,drum,1,news,pos,38
2015/36,galanz,drum,2,blog,neg,0
2015/36,galanz,drum,2,blog,pos,0
2015/36,galanz,drum,5,community,neg,0
2015/36,galanz,drum,5,community,pos,0
2015/36,galanz,drum,7,bbs,neg,0
2015/36,galanz,drum,7,bbs,pos,0
2015/36,galanz,drum,9,weibo,neg,0
2015/36,galanz,drum,9,weibo,pos,0
2015/36,galanz,drum,z,others,neg,0
2015/36,galanz,drum,z,others,pos,0
2015/36,haier,bolun,0,wiki,neg,9
2015/36,haier,bolun,0,wiki,pos,0
2015/36,haier,bolun,1,news,neg,0
2015/36,haier,bolun,1,news,pos,51
2015/36,haier,bolun,2,blog,neg,0
2015/36,haier,bolun,2,blog,pos,0
2015/36,haier,bolun,5,community,neg,0
2015/36,haier,bolun,5,community,pos,0
2015/36,haier,bolun,7,bbs,neg,0
2015/36,haier,bolun,7,bbs,pos,0
2015/36,haier,bolun,9,weibo,neg,0
2015/36,haier,bolun,9,weibo,pos,0
2015/36,haier,bolun,z,others,neg,0
2015/36,haier,bolun,z,others,pos,3
2015/36,haier,drum,0,wiki,neg,37
2015/36,haier,drum,0,wiki,pos,1
2015/36,haier,drum,1,news,neg,1
2015/36,haier,drum,1,news,pos,96
2015/36,haier,drum,2,blog,neg,0
2015/36,haier,drum,2,blog,pos,0
2015/36,haier,drum,5,community,neg,0
2015/36,haier,drum,5,community,pos,0
2015/36,haier,drum,7,bbs,neg,3
2015/36,haier,drum,7,bbs,pos,1
2015/36,haier,drum,9,weibo,neg,3
2015/36,haier,drum,9,weibo,pos,0
2015/36,haier,drum,z,others,neg,0
2015/36,haier,drum,z,others,pos,3
2015/36,hisense,bolun,0,wiki,neg,0
2015/36,hisense,bolun,0,wiki,pos,0
2015/36,hisense,bolun,1,news,neg,0
2015/36,hisense,bolun,1,news,pos,3
2015/36,hisense,bolun,2,blog,neg,0
2015/36,hisense,bolun,2,blog,pos,0
2015/36,hisense,bolun,5,community,neg,0
2015/36,hisense,bolun,5,community,pos,0
2015/36,hisense,bolun,7,bbs,neg,0
2015/36,hisense,bolun,7,bbs,pos,0
2015/36,hisense,bolun,9,weibo,neg,0
2015/36,hisense,bolun,9,weibo,pos,0
2015/36,hisense,bolun,z,others,neg,0
2015/36,hisense,bolun,z,others,pos,0
