date,detail,cash,credit,creditType,category,tag,waste
2010년06월14일,운동화,0,55200,LIG 손해보험-현,의복/미용>의류비,,
2010년06월15일,점심값,12000,0,,식비>평일점심,,
2010년06월15일,담배값,2500,0,,용돈/기타>담배,,
2010년06월15일,음료수,3000,0,,식비>커피/음료,,
2010년06월16일,점심식사(정민),0,29150,LIG 손해보험-현,식비>외식,,
2010년06월16일,동회회비,20000,0,,경조사/회비>모임회비,,
2010년06월17일,점심값,7000,0,,식비>평일점심,,
2010년06월17일,담배값,2500,0,,용돈/기타>담배,,
2010년06월18일,점심값,6000,0,,식비>평일점심,,
2010년06월18일,스포츠토토,5000,0,,경조사/회비>기타,,
2010년06월19일,축의금(이태형과장님),30000,0,,경조사/회비>경조사비,,
2010년06월19일,술값,29000,0,,식비>술/유흥,,
2010년06월19일,3차술값,21000,0,,식비>술/유흥,,
2010년06월19일,택시비,20000,0,,교통/차량>택시비C,,
2010년06월19일,담배값,2500,0,,용돈/기타>담배,,
2010년06월21일,점심값,6000,0,,식비>평일점심,,
2010년06월21일,동기모임,20000,0,,경조사/회비>모임회비,,
2010년06월21일,담배값,2500,0,,용돈/기타>담배,,
2010년06월22일,연금(LIG),148500,0,,저축/보험>연금,고정비용,
2010년06월22일,MT회비,100000,0,,경조사/회비>모임회비,하계MT회비,
2010년06월23일,벌금,2000,0,,용돈/기타>기타,스터디벌금,
2010년06월23일,스포츠토토,5000,0,,경조사/회비>기타,,
2010년06월23일,점심값,6000,0,,식비>평일점심,,
2010년06월23일,LIG 손해보험-현... 사용대금 (2010.05.12 ~ 2010.06.11),616660,0,,카드대금>LIG 손해보험-현,,
2010년06월24일,점심값,5000,0,,식비>평일점심,,
2010년06월24일,미팅회비(김경준),35000,0,,경조사/회비>모임회비,미팅,
2010년06월24일,음료수,3000,0,,식비>커피/음료,,
2010년06월24일,오디오잭,3200,0,,생활용품>가구/가전,,
2010년06월25일,핸드폰 요금,66990,0,,주거/통신>이동통신,,
2010년06월25일,보험비,40000,0,,저축/보험>보험,"고정비용,",
2010년06월25일,양말,1000,0,,의복/미용>의류비,,
2010년06월25일,담배,2500,0,,용돈/기타>담배,,
2010년06월26일,술값,37400,0,,식비>술/유흥,,
2010년06월26일,담배,2500,0,,용돈/기타>담배,,
2010년06월26일,수리비,7000,0,,용돈/기타>기타,,
2010년06월27일,소개팅,28600,0,,식비>외식,,
2010년06월27일,커피,10400,0,,식비>커피/음료,,
2010년06월28일,점심값,6000,0,,식비>평일점심,,
2010년06월28일,스포츠토토,5000,0,,경조사/회비>기타,,
2010년06월29일,담배,2500,0,,용돈/기타>담배,,
2010년06월29일,미용,0,17000,LIG 손해보험-현,의복/미용>헤어/뷰티,,
2010년06월29일,왁스,9000,0,,의복/미용>헤어/뷰티,,
