date,detail,income,category,tag
2010년11월19일,월급,2414110,주수입>급여,
2010년11월19일,조의금,300000,부수입>기타,
2010년11월19일,환급,43300,부수입>기타,
2010년11월21일,경비,185840,부수입>기타,회사경비
2010년11월26일,카드깡(경휘),10000,부수입>카드깡,
2010년12월01일,11월 전월이월 잔액,12892759,전월이월>전월이월,
2010년12월02일,카드깡(오대리님),43000,부수입>카드깡,
2010년12월13일,보드렌탈(경희),20000,부수입>카드깡,
2010년12월19일,리프트(황순철),35000,부수입>카드깡,
2010년12월20일,"보드렌탈(오대리님,원선배)",50000,부수입>카드깡,
2010년12월21일,월급,2432190,주수입>급여,
2010년12월21일,경비,189940,부수입>기타,회사경비
2011년01월01일,12월 전월이월 잔액,11972772,전월이월>전월이월,
2011년01월02일,똥파리,10000,부수입>카드깡,
2011년01월11일,캐나다세금환급,326774,부수입>이자/배당금,
2011년01월21일,월급,2432190,주수입>급여,
2011년01월21일,자기계발비,76100,부수입>기타,
2011년01월25일,컴퓨터값(아빠),1000000,부수입>카드깡,
2011년02월01일,01월 전월이월 잔액,12393095,전월이월>전월이월,
2011년02월01일,상여금,2277966,주수입>상여,
2011년02월14일,남진이 양복,360000,부수입>카드깡,
2011년02월21일,월급,2414110,주수입>급여,
2011년02월21일,연말정산,313400,부수입>기타,
2011년02월21일,초과근무수당,174490,부수입>초과근무수당,
2011년02월27일,경비,176300,부수입>기타,
2011년03월01일,02월 전월이월 잔액,14131469,전월이월>전월이월,
2011년03월21일,월급,2450120,주수입>급여,
2011년03월21일,소급액,300000,주수입>급여,
2011년03월21일,초과근무수당,100000,부수입>초과근무수당,
2011년03월21일,경비,138960,부수입>기타,
2011년04월01일,03월 전월이월 잔액,11087567,전월이월>전월이월,
2011년04월19일,카드깡(경휘),35000,부수입>카드깡,
2011년04월23일,월급,2534500,주수입>급여,
2011년05월01일,04월 전월이월 잔액,9713655,전월이월>전월이월,
2011년05월20일,월급,2581520,주수입>급여,
2011년05월23일,카드깡,7000,부수입>카드깡,
2011년06월01일,05월 전월이월 잔액,8886843,전월이월>전월이월,
2011년06월08일,카드깡,40000,부수입>카드깡,
2011년06월15일,항공취소,225200,부수입>기타,
2011년06월18일,카드깡,5900,부수입>카드깡,
2011년06월21일,월급,2532230,주수입>급여,
2011년06월21일,경비,37440,부수입>기타,
2011년06월21일,초과근무수당,80000,부수입>초과근무수당,
2011년06월27일,곗돈탐,10000000,저축/보험>기타,
2011년06월27일,곗돈 이자,900000,부수입>이자/배당금,
2011년07월01일,06월 전월이월 잔액,20999735,전월이월>전월이월,
2011년07월03일,불고기 브라더스(카드깡),20000,부수입>카드깡,
2011년07월17일,카드깡,15000,부수입>카드깡,
2011년07월21일,월급,2500560,주수입>급여,
2011년07월21일,초과근무수당,180000,부수입>초과근무수당,
2011년07월22일,카드깡(둥이참치),30000,부수입>카드깡,
2011년07월24일,경비,68120,부수입>기타,
2011년07월30일,카드깡,56000,부수입>카드깡,
2011년08월01일,07월 전월이월 잔액,20838672,전월이월>전월이월,
2011년08월19일,초과근무수당,110000,부수입>초과근무수당,
2011년08월19일,월급,2506930,주수입>급여,
2011년08월19일,경비,134380,부수입>기타,
2011년09월01일,08월 전월이월 잔액,20460580,전월이월>전월이월,
2011년09월02일,예금이자,203630,부수입>이자/배당금,
2011년09월12일,스크린골프,20000,부수입>카드깡,
2011년09월21일,월급,2522600,주수입>급여,
2011년09월22일,경비,35520,부수입>기타,
2011년09월22일,카드깡,120000,부수입>카드깡,
2011년09월30일,카드깡,36000,부수입>카드깡,
2011년10월01일,09월 전월이월 잔액,4939458,전월이월>전월이월,
