"날짜","yearMonth","category1","category2","detail","현금","카드","카드분류","total","type","totalExpenditure","totalIncome","totalSave"
"2010-06-18","2010-06","경조사/회비","기타","스포츠토토",5000,0,NA,5000,"expenditure",5000,0,0
"2010-06-19","2010-06","경조사/회비","경조사비","축의금(이태형과장님)",30000,0,NA,30000,"expenditure",30000,0,0
"2010-06-19","2010-06","식비","술/유흥","술값",29000,0,NA,29000,"expenditure",29000,0,0
"2010-06-19","2010-06","식비","술/유흥","3차술값",21000,0,NA,21000,"expenditure",21000,0,0
"2010-06-19","2010-06","교통/차량","택시비C","택시비",20000,0,NA,20000,"expenditure",20000,0,0
"2010-06-19","2010-06","용돈/기타","담배","담배값",2500,0,NA,2500,"expenditure",2500,0,0
"2010-06-21","2010-06","식비","평일점심","점심값",6000,0,NA,6000,"expenditure",6000,0,0
"2010-06-21","2010-06","경조사/회비","모임회비","동기모임",20000,0,NA,20000,"expenditure",20000,0,0
"2010-06-21","2010-06","용돈/기타","담배","담배값",2500,0,NA,2500,"expenditure",2500,0,0
"2010-06-22","2010-06","경조사/회비","모임회비","MT회비",1e+05,0,NA,1e+05,"expenditure",1e+05,0,0
"2010-06-23","2010-06","용돈/기타","기타","벌금",2000,0,NA,2000,"expenditure",2000,0,0
"2010-06-23","2010-06","경조사/회비","기타","스포츠토토",5000,0,NA,5000,"expenditure",5000,0,0
"2010-06-23","2010-06","식비","평일점심","점심값",6000,0,NA,6000,"expenditure",6000,0,0
"2010-06-24","2010-06","식비","평일점심","점심값",5000,0,NA,5000,"expenditure",5000,0,0
"2010-06-24","2010-06","경조사/회비","모임회비","미팅회비(김경준)",35000,0,NA,35000,"expenditure",35000,0,0
"2010-06-24","2010-06","식비","커피/음료","음료수",3000,0,NA,3000,"expenditure",3000,0,0
"2010-06-24","2010-06","생활용품","가구/가전","오디오잭",3200,0,NA,3200,"expenditure",3200,0,0
"2010-06-25","2010-06","주거/통신","이동통신","핸드폰 요금",66990,0,NA,66990,"expenditure",66990,0,0
"2010-06-25","2010-06","의복/미용","의류비","양말",1000,0,NA,1000,"expenditure",1000,0,0
"2010-06-25","2010-06","용돈/기타","담배","담배",2500,0,NA,2500,"expenditure",2500,0,0
"2010-06-26","2010-06","식비","술/유흥","술값",37400,0,NA,37400,"expenditure",37400,0,0
"2010-06-26","2010-06","용돈/기타","담배","담배",2500,0,NA,2500,"expenditure",2500,0,0
"2010-06-26","2010-06","용돈/기타","기타","수리비",7000,0,NA,7000,"expenditure",7000,0,0
"2010-06-27","2010-06","식비","외식","소개팅",28600,0,NA,28600,"expenditure",28600,0,0
"2010-06-27","2010-06","식비","커피/음료","커피",10400,0,NA,10400,"expenditure",10400,0,0
"2010-06-28","2010-06","식비","평일점심","점심값",6000,0,NA,6000,"expenditure",6000,0,0
"2010-06-28","2010-06","경조사/회비","기타","스포츠토토",5000,0,NA,5000,"expenditure",5000,0,0
"2010-06-29","2010-06","용돈/기타","담배","담배",2500,0,NA,2500,"expenditure",2500,0,0
"2010-06-29","2010-06","의복/미용","헤어/뷰티","미용",0,17000,"LIG 손해보험-현",17000,"expenditure",17000,0,0
"2010-06-29","2010-06","의복/미용","헤어/뷰티","왁스",9000,0,NA,9000,"expenditure",9000,0,0
"2010-06-30","2010-06","식비","평일점심","점심값",5000,0,NA,5000,"expenditure",5000,0,0
"2010-06-30","2010-06","경조사/회비","기타","벌금",2000,0,NA,2000,"expenditure",2000,0,0
